District,Area,Street,Postal Code,Address,Latitude,Longitude,Other
Abuja (Capital),Asokoro,Ajayi Cresentwder Street,900231.0,"Federal Capital Territory, Abuja (Capital), Asokoro, Ajayi Cresentwder Street",9.0533483,7.52795,
Abuja (Capital),Asokoro,Akenzua Street,900231.0,"Federal Capital Territory, Abuja (Capital), Asokoro, Akenzua Street",9.0533483,7.52795,"Oba Akenzua Street, Asokoro, Aso, Municipal Area Council, Federal Capital Territory, 900110, Nigeria"
Abuja (Capital),Asokoro,Ali Akihi Cresent,900231.0,"Federal Capital Territory, Abuja (Capital), Asokoro, Ali Akihi Cresent",9.0533483,7.52795,
Abuja (Capital),Asokoro,Anwar Sadat Street,900231.0,"Federal Capital Territory, Abuja (Capital), Asokoro, Anwar Sadat Street",9.0533483,7.52795,
Abuja (Capital),Asokoro,Dennis Osadebe Street,900231.0,"Federal Capital Territory, Abuja (Capital), Asokoro, Dennis Osadebe Street",9.0571951,7.5116899,"Dennis Osadebe Street, Asokoro, Abuja, Municipal Area Council, Federal Capital Territory, 900110, Nigeria"
Abuja (Capital),Asokoro,El-Emi Street,900231.0,"Federal Capital Territory, Abuja (Capital), Asokoro, El-Emi Street",9.0533483,7.52795,
Abuja (Capital),Asokoro,Gandhi Street,900231.0,"Federal Capital Territory, Abuja (Capital), Asokoro, Gandhi Street",9.0487175,7.5077994,"Mahatma Gandhi Street, Asokoro, Abuja, Municipal Area Council, Federal Capital Territory, 900110, Nigeria"
Abuja (Capital),Asokoro,Ibrahim Taiwo Street,900231.0,"Federal Capital Territory, Abuja (Capital), Asokoro, Ibrahim Taiwo Street",9.0533483,7.52795,
Abuja (Capital),Asokoro,Jesse Jackson Street,900231.0,"Federal Capital Territory, Abuja (Capital), Asokoro, Jesse Jackson Street",9.0459256,7.5101253,"Jesse Jackson Street, Asokoro, Abuja, Municipal Area Council, Federal Capital Territory, 900110, Nigeria"
Abuja (Capital),Asokoro,Jimmy Cater Street,900231.0,"Federal Capital Territory, Abuja (Capital), Asokoro, Jimmy Cater Street",9.0533483,7.52795,
Abuja (Capital),Asokoro,King Faisal Street,900231.0,"Federal Capital Territory, Abuja (Capital), Asokoro, King Faisal Street",9.0455723,7.5087662,"King Faisal Street, Asokoro, Abuja, Municipal Area Council, Federal Capital Territory, 900110, Nigeria"
Abuja (Capital),Asokoro,Kofo Abayomi Street,900231.0,"Federal Capital Territory, Abuja (Capital), Asokoro, Kofo Abayomi Street",9.0533483,7.52795,
Abuja (Capital),Asokoro,Lo Luga Street,900231.0,"Federal Capital Territory, Abuja (Capital), Asokoro, Lo Luga Street",9.0533483,7.52795,
Abuja (Capital),Asokoro,Maitama Sule Street,900231.0,"Federal Capital Territory, Abuja (Capital), Asokoro, Maitama Sule Street",9.0533483,7.52795,
Abuja (Capital),Asokoro,Malcolm Farser Street,900231.0,"Federal Capital Territory, Abuja (Capital), Asokoro, Malcolm Farser Street",9.0533483,7.52795,
Abuja (Capital),Asokoro,Margret Thatcher St,900231.0,"Federal Capital Territory, Abuja (Capital), Asokoro, Margret Thatcher St",9.0533483,7.52795,
Abuja (Capital),Asokoro,Martin Luther Cresent,900231.0,"Federal Capital Territory, Abuja (Capital), Asokoro, Martin Luther Cresent",9.0533483,7.52795,
Abuja (Capital),Asokoro,Modibo Adana Cresent,900231.0,"Federal Capital Territory, Abuja (Capital), Asokoro, Modibo Adana Cresent",9.0533483,7.52795,
Abuja (Capital),Asokoro,Oliver Tambo Street,900231.0,"Federal Capital Territory, Abuja (Capital), Asokoro, Oliver Tambo Street",9.0533483,7.52795,
Abuja (Capital),Asokoro,Queen Amina Street,900231.0,"Federal Capital Territory, Abuja (Capital), Asokoro, Queen Amina Street",9.0533483,7.52795,
Abuja (Capital),Asokoro,Queen Elizabeth Street,900231.0,"Federal Capital Territory, Abuja (Capital), Asokoro, Queen Elizabeth Street",9.0503568,7.5129586,"Queen Elizabeth Street, Asokoro, Abuja, Municipal Area Council, Federal Capital Territory, 900110, Nigeria"
