,Area,Street,Postal Code
0,Asokoro,Ajayi Crowder St․,900231
1,Asokoro,Akenzua St․,900231
2,Asokoro,Ali Akihi Cr․,900231
3,Asokoro,Anwar Sadat St․,900231
4,Asokoro,Dennis Osadebe St․,900231
5,Asokoro,El-Emi St․,900231
6,Asokoro,Gandhi St․,900231
7,Asokoro,Ibrahim Taiwo St․,900231
8,Asokoro,Jesse Jackson St․,900231
9,Asokoro,Jimmy Cater St․,900231
10,Asokoro,King Faisal St․,900231
11,Asokoro,Kofo Abayomi St․,900231
12,Asokoro,Lo Luga St․,900231
13,Asokoro,Maitama Sule St․,900231
14,Asokoro,Malcolm Farser St.,900231
15,Asokoro,Margret Thatcher St,900231
16,Asokoro,Martin Luther Cr․,900231
17,Asokoro,Modibo Adana Cr․,900231
18,Asokoro,Oliver Tambo St․,900231
19,Asokoro,Queen Amina St․,900231
20,Asokoro,Queen Elizabeth St․,900231
21,Asokoro,Queen Ida St․,900231
22,Asokoro,RAB Dikko Road Rd․,900231
23,Asokoro,Rwang Pam St.,900231
24,Asokoro,Shehu Shagari Way,900231
25,Asokoro,Suleiman Barau Cr․,900231
26,Asokoro,Tito Bros St․,900231
27,Asokoro,Ukpabi Asika St․,900231
28,Asokoro,Usman Danfodio Cr․,900231
29,Asokoro,Winston Churchill St․,900231
30,Asokoro,Yakubu Gowon Cr,900231
31,Asokoro,Abdou Diouf Cr․,900231
32,Asokoro,Akan Ibiam St․,900231
33,Asokoro,Amaddu Ahidjo St․,900231
34,Asokoro,Biogny St․,900231
35,Asokoro,Desmond Tutu St․,900231
36,Asokoro,Eyedema St․,900231
37,Asokoro,Halle Sallasie St․,900231
38,Asokoro,Inner Southern Express Way,900231
39,Asokoro,Jomo Kenyatta St.,900231
40,Asokoro,Joshua Nkonwo St․,900231
41,Asokoro,Julius Nyerere Cr․,900231
42,Asokoro,Kenneth Kaunda St․,900231
43,Asokoro,Kwame Nkurma Cr․,900231
44,Asokoro,Loius Edet St․,900231
45,Asokoro,Mathew Kerekou St․,900231
46,Asokoro,Murtala Mohammed Way,900231
47,Asokoro,Musa Traore Cr․,900231
48,Asokoro,Nelson Mandala St․,900231
49,Asokoro,Patrice Lumimuba St․,900231
50,Asokoro,Robert Mugabe St․,900231
51,Asokoro,Sebghor St․,900231
52,Asokoro,Siaka Stevens St․,900231
53,Asokoro,Thomas Sankara St.,900231
54,Asokoro,2nd Ave․,900211
55,Asokoro,Ajayi Crowder St․,900231
56,Asokoro,Akenzua St․,900231
57,Asokoro,Ali Akihi Cr․,900231
58,Asokoro,Anwar Sadat St․,900231
59,Asokoro,Dennis Osadebe St․,900231
60,Asokoro,El-Emi St․,900231
61,Asokoro,Gandhi St․,900231
62,Asokoro,Ibrahim Taiwo St․,900231
63,Asokoro,Jesse Jackson St․,900231
64,Asokoro,Jimmy Cater St․,900231
65,Asokoro,King Faisal St․,900231
66,Asokoro,Kofo Abayomi St․,900231
67,Asokoro,Lo Luga St․,900231
68,Asokoro,Maitama Sule St․,900231
69,Asokoro,Malcolm Farser St.,900231
70,Asokoro,Margret Thatcher St,900231
71,Asokoro,Martin Luther Cr․,900231
72,Asokoro,Modibo Adana Cr․,900231
73,Asokoro,Oliver Tambo St․,900231
74,Asokoro,Queen Amina St․,900231
75,Asokoro,Queen Elizabeth St․,900231
76,Asokoro,Queen Ida St․,900231
