District,Area,Street,Postal Code
Abuja (Capital),Asokoro,Ajayi Cresentwder Street,900231
Abuja (Capital),Asokoro,Akenzua Street,900231
Abuja (Capital),Asokoro,Ali Akihi Cresent,900231
Abuja (Capital),Asokoro,Anwar Sadat Street,900231
Abuja (Capital),Asokoro,Dennis Osadebe Street,900231
Abuja (Capital),Asokoro,El-Emi Street,900231
Abuja (Capital),Asokoro,Gandhi Street,900231
Abuja (Capital),Asokoro,Ibrahim Taiwo Street,900231
Abuja (Capital),Asokoro,Jesse Jackson Street,900231
Abuja (Capital),Asokoro,Jimmy Cater Street,900231
Abuja (Capital),Asokoro,King Faisal Street,900231
Abuja (Capital),Asokoro,Kofo Abayomi Street,900231
Abuja (Capital),Asokoro,Lo Luga Street,900231
Abuja (Capital),Asokoro,Maitama Sule Street,900231
Abuja (Capital),Asokoro,Malcolm Farser Street,900231
Abuja (Capital),Asokoro,Margret Thatcher St,900231
Abuja (Capital),Asokoro,Martin Luther Cresent,900231
Abuja (Capital),Asokoro,Modibo Adana Cresent,900231
Abuja (Capital),Asokoro,Oliver Tambo Street,900231
Abuja (Capital),Asokoro,Queen Amina Street,900231
Abuja (Capital),Asokoro,Queen Elizabeth Street,900231
Abuja (Capital),Asokoro,Queen Ida Street,900231
Abuja (Capital),Asokoro,RAB Dikko Road Rd․,900231
Abuja (Capital),Asokoro,Rwang Pam Street,900231
Abuja (Capital),Asokoro,Shehu Shagari Way,900231
Abuja (Capital),Asokoro,Suleiman Barau Cresent,900231
Abuja (Capital),Asokoro,Tito Bros Street,900231
Abuja (Capital),Asokoro,Ukpabi Asika Street,900231
Abuja (Capital),Asokoro,Usman Danfodio Cresent,900231
Abuja (Capital),Asokoro,Winston Churchill Street,900231
Abuja (Capital),Asokoro,Yakubu Gowon Cr,900231
Abuja (Capital),Asokoro,Abdou Diouf Cresent,900231
Abuja (Capital),Asokoro,Akan Ibiam Street,900231
Abuja (Capital),Asokoro,Amaddu Ahidjo Street,900231
Abuja (Capital),Asokoro,Biogny Street,900231
Abuja (Capital),Asokoro,Desmond Tutu Street,900231
Abuja (Capital),Asokoro,Eyedema Street,900231
Abuja (Capital),Asokoro,Halle Sallasie Street,900231
