,Area,Street,Postal Code
0,Asokoro,Ajayi Cresentwder Street,900231
1,Asokoro,Akenzua Street,900231
2,Asokoro,Ali Akihi Cresent,900231
3,Asokoro,Anwar Sadat Street,900231
4,Asokoro,Dennis Osadebe Street,900231
5,Asokoro,El-Emi Street,900231
6,Asokoro,Gandhi Street,900231
7,Asokoro,Ibrahim Taiwo Street,900231
8,Asokoro,Jesse Jackson Street,900231
9,Asokoro,Jimmy Cater Street,900231
10,Asokoro,King Faisal Street,900231
11,Asokoro,Kofo Abayomi Street,900231
12,Asokoro,Lo Luga Street,900231
13,Asokoro,Maitama Sule Street,900231
14,Asokoro,Malcolm Farser Street,900231
15,Asokoro,Margret Thatcher St,900231
16,Asokoro,Martin Luther Cresent,900231
17,Asokoro,Modibo Adana Cresent,900231
18,Asokoro,Oliver Tambo Street,900231
19,Asokoro,Queen Amina Street,900231
20,Asokoro,Queen Elizabeth Street,900231
21,Asokoro,Queen Ida Street,900231
22,Asokoro,RAB Dikko Road Rd․,900231
23,Asokoro,Rwang Pam Street,900231
24,Asokoro,Shehu Shagari Way,900231
25,Asokoro,Suleiman Barau Cresent,900231
26,Asokoro,Tito Bros Street,900231
27,Asokoro,Ukpabi Asika Street,900231
28,Asokoro,Usman Danfodio Cresent,900231
29,Asokoro,Winston Churchill Street,900231
30,Asokoro,Yakubu Gowon Cr,900231
31,Asokoro,Abdou Diouf Cresent,900231
32,Asokoro,Akan Ibiam Street,900231
33,Asokoro,Amaddu Ahidjo Street,900231
34,Asokoro,Biogny Street,900231
35,Asokoro,Desmond Tutu Street,900231
36,Asokoro,Eyedema Street,900231
37,Asokoro,Halle Sallasie Street,900231
38,Asokoro,Inner Southern Express Way,900231
39,Asokoro,Jomo Kenyatta Street,900231
40,Asokoro,Joshua Nkonwo Street,900231
41,Asokoro,Julius Nyerere Cresent,900231
42,Asokoro,Kenneth Kaunda Street,900231
43,Asokoro,Kwame Nkurma Cresent,900231
44,Asokoro,Loius Edet Street,900231
45,Asokoro,Mathew Kerekou Street,900231
46,Asokoro,Murtala Mohammed Way,900231
47,Asokoro,Musa Traore Cresent,900231
48,Asokoro,Nelson Mandala Street,900231
49,Asokoro,Patrice Lumimuba Street,900231
50,Asokoro,Robert Mugabe Street,900231
51,Asokoro,Sebghor Street,900231
52,Asokoro,Siaka Streetvens Street,900231
53,Asokoro,Thomas Sankara Street,900231
54,Asokoro,2nd Ave․,900211
55,Central Business District,2nd Ave․,900211
56,Central Business District,3 Ave․,900211
57,Central Business District,4th Ave․,900211
58,Central Business District,Abuja Dr․,900211
59,Central Business District,Ahmadu Bello Way,900211
60,Central Business District,Constitution Rd․,900211
61,Central Business District,Hospital Ave․,900211
62,Central Business District,Independence Ave.,900211
63,Central Business District,Inner Express (N) Way,900211
64,Central Business District,Mohammed Buhari Way,900211
65,Central Business District,North Transit Way,900211
66,Central Business District,Northern Express Way,900211
67,Central Business District,Olusegun Obasanjo Way,900211
68,Central Business District,Shehu Shagari Way,900211
69,Central Business District,South Transit Way,900211
70,Central Business District,Tafawa Balewa Way.,900211
71,Central Business District,Aladja Street,900241
72,Garki Area 1,Aladja Street,900241
73,Garki Area 1,Auchi Street,900241
74,Garki Area 1,Benue Cresent,900241
75,Garki Area 1,Faskari Street,900241
76,Garki Area 1,Ijero Street,900241
77,Garki Area 1,Imo Cresent,900241
78,Garki Area 1,Kano Street,900241
79,Garki Area 1,Kaura Namoda Street,900241
80,Garki Area 1,Lapai Street,900241
81,Garki Area 1,Mashood-Abiola Way,900241
