Place,Street,Postal Code
Ijomu,Ayetoro St.,340211
Ijomu,Edo Lodge,340211
Ijomu,Fiwasaye Girls Gram School,340211
Ijomu,Ijomu St.,340211
Ijomu,James Adegoke St.,340211
Ijomu,Min of Agric & Nat Resources,340211
Ijomu,Obanla St.,340211
Ijomu,Oke Emeso St.,340211
Ijomu,Olunatedo,340211
Ijomu,Oluyide St.,340211
Ijomu,Princess Hotel,340211
Ijomu,St. David’s Pry. School,340211
Ijomu,St. Mary Children School,340211
Ijomu,Vining Christian Centre,340211
Ijapo Estate,Ado St.,340212
Ijapo Estate,AP Filling Station,340212
Ijapo Estate,Ewti St.,340212
Ijapo Estate,Eyemote St.,340212
Ijapo Estate,Gbolaji St.,340212
Ijapo Estate,Henry Fajemirokun St.,340212
Ijapo Estate,Ijapo Police Station,340212
Ijapo Estate,Ijepo St.,340212
Ijapo Estate,Ikogosi St.,340212
Ijapo Estate,Ikole St.,340212
Ijapo Estate,Imade St.,340212
Ijapo Estate,James Adegoke St.,340212
Ijapo Estate,Kola Ogunmola St.,340212
Ijapo Estate,Mown St.,340212
Ijapo Estate,Ojumu St.,340212
Ijapo Estate,Oke Ijebu,340212
Ijapo Estate,Omuo St.,340212
Ijapo Estate,Ondo Ave.,340212
Ijapo Estate,Otun Cr.,340212
Ijapo Estate,Owo Ave.,340212
Ijapo Estate,State Housing Corporation,340212
Ijapo Estate,Victory Garden,340212
School Of Agric,Fabilola Estate,340213
School Of Agric,Min of Justice,340213
School Of Agric,Rural Education Centre,340213
School Of Agric,Texaco Petrol Station,340213
Oba Ile,C/S Rd.,340214
Oba Ile,Ejioba High Sch.,340214
Oba Ile,Mission Rd.,340214
Oba Ile,Oba-Ile Housing,340214
Oba Ile,OSRC.,340214
Obas Palace,Afunbi Owo Rd.,340221
Obas Palace,Alakunre St.,340221
Obas Palace,Amudipe St.,340221
Obas Palace,Arakale St.,340221
Obas Palace,Ayegunle St.,340221
Obas Palace,Edungba St.,340221
Obas Palace,Egbedi St.,340221
Obas Palace,Epekesan St.,340221
Obas Palace,Eruoba St. A & B,340221
Obas Palace,Idiagba St.,340221
Obas Palace,Igan St.,340221
Obas Palace,Igbede St.,340221
Obas Palace,Min of Justice Igbede St.,340221
Obas Palace,Igboyegun St.,340221
Obas Palace,Ijala St.,340221
Obas Palace,Ijofi St.,340221
Obas Palace,Iromu St.,340221
Obas Palace,Kemo St.,340221
Obas Palace,Oba Osupa St.,340221
Obas Palace,Oeji’s Palace,340221
Obas Palace,Okelisa St.,340221
Obas Palace,Orisa St.,340221
High Court,Akure Shopping Compx.,340222
High Court,Governors House Rd.,340222
High Court,High Court,340222
High Court,Kudirat Abiola Shopping Compx.,340222
High Court,NEPA Court,340222
High Court,Oke Eda St.,340222
High Court,Ondo State Water Corporation,340222
High Court,Secretariat Offices,340222
High Court,Union Bank,340222
Alagbaka,Ajasin Way,340223
Alagbaka,Akure Shopping Compx.,340223
Alagbaka,Bishops Court,340223
Alagbaka,Central Bank,340223
Alagbaka,Code of Conduct Way,340223
Alagbaka,Federal Secretariat,340223
Alagbaka,G.R.A,340223
Alagbaka,Government Press,340223
Alagbaka,House of Assembly,340223
Alagbaka,Igbatoro Rd.,340223
Alagbaka,Investment House,340223
Alagbaka,Olukayode St.,340223
Alagbaka,SDP Secretariat,340223
Alagbaka,State Secretariat,340223
Alagbaka,WAEC INEC Rd.,340223
Okearo,Ajegunle St.,340231
Okearo,Akure Musum College,340231
Okearo,Alafe St.,340231
Okearo,Alafiatayo,340231
Okearo,Ayelabola St.,340231
Okearo,Debonah Lodge,340231
Okearo,Eleye St.,340231
Okearo,Eyinke St.,340231
Okearo,Falokun St.,340231
Okearo,Gbangbalogun St.,340231
Okearo,Green Park,340231
Okearo,Igbolini St.,340231
Okearo,Ijemikin St.,340231
Okearo,Irowo St.,340231
Okearo,Iselemo St.,340231
Okearo,Iwalewa,340231
Okearo,Iwaro St.,340231
Okearo,Koro Quarters,340231
Okearo,Moferere,340231
Okearo,N.P.F Station,340231
Okearo,Odige St.,340231
Okearo,Odopetu St.,340231
Okearo,Odundun St.,340231
Okearo,Oke Apata St.,340231
Okearo,Oke Padre,340231
Okearo,Okebola St.,340231
Okearo,Osinle St.,340231
Okearo,Otutubiosnu St.,340231
Osinle Sijuade Estate,Ajowa St.,340232
Osinle Sijuade Estate,Akinola Oluyede St.,340232
Osinle Sijuade Estate,Akure Musum School,340232
